tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
full,sascore,screening,4,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.230616841232182,oracle_benchmark_results/full/sascore/screening/seed_4/results_screening_sascore_4.yaml
full,sascore,smiles_ga,0,4088,4088,8.66793054365497,8.66793054365497,8.556236930366605,8.40240492809848,8.410018190987776,oracle_benchmark_results/full/sascore/smiles_ga/seed_0/results_smiles_ga_sascore_0.yaml
full,sascore,smiles_ga,1,3281,3281,8.66793054365497,8.66793054365497,8.559766975877185,8.393674879673382,8.446112792254644,oracle_benchmark_results/full/sascore/smiles_ga/seed_1/results_smiles_ga_sascore_1.yaml
full,sascore,smiles_ga,2,3923,3923,8.66793054365497,8.66793054365497,8.559766975877185,8.401164323007613,8.422539286392762,oracle_benchmark_results/full/sascore/smiles_ga/seed_2/results_smiles_ga_sascore_2.yaml
full,sascore,smiles_ga,3,3196,3196,8.66793054365497,8.66793054365497,8.55390077652045,8.3899996197458,8.39439900877525,oracle_benchmark_results/full/sascore/smiles_ga/seed_3/results_smiles_ga_sascore_3.yaml
full,sascore,smiles_ga,4,3822,3822,8.66793054365497,8.66793054365497,8.559766975877185,8.412110845748508,8.45308440426446,oracle_benchmark_results/full/sascore/smiles_ga/seed_4/results_smiles_ga_sascore_4.yaml
full,sascore,stoned,0,2062,2062,9.0,9.0,8.879730267457804,8.247034495176496,8.564077029039538,oracle_benchmark_results/full/sascore/stoned/seed_0/results_stoned_sascore_0.yaml
full,sascore,stoned,1,2750,2750,9.0,9.0,8.859903825387656,8.267298073942497,8.644418811973862,oracle_benchmark_results/full/sascore/stoned/seed_1/results_stoned_sascore_1.yaml
full,sascore,stoned,2,3203,3203,9.0,9.0,8.862624273778241,8.208360546565682,8.659189784621553,oracle_benchmark_results/full/sascore/stoned/seed_2/results_stoned_sascore_2.yaml
full,sascore,stoned,3,2141,2141,9.0,9.0,8.847110238909,8.291274421739494,8.579605230224653,oracle_benchmark_results/full/sascore/stoned/seed_3/results_stoned_sascore_3.yaml
full,sascore,stoned,4,4147,4147,9.0,9.0,8.966097242666164,8.463720177172174,8.768264053611901,oracle_benchmark_results/full/sascore/stoned/seed_4/results_stoned_sascore_4.yaml
