tier,oracle,algorithm,n,original_top1,part2_top1,delta_top1,original_top10,part2_top10,delta_top10,original_top100,part2_top100,delta_top100,original_auc_top10,part2_auc_top10,delta_auc_top10
medium,rot_bonds,reinvent,3,17.0,17.0,0.0,14.133333333333333,14.133333333333333,0.0,11.049999999999999,11.049999999999999,0.0,9.88825209182352,9.88825209182352,0.0
medium,rot_bonds,reinvent_selfies,3,17.333333333333332,17.333333333333332,0.0,14.299999999999999,14.299999999999999,0.0,10.683333333333332,10.683333333333332,0.0,11.23972892187178,11.23972892187178,0.0
medium,rot_bonds,screening,3,7.0,7.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,6.926688095238095,6.926688095238095,0.0
medium,rot_bonds,selfies_ga,3,10.666666666666666,10.666666666666666,0.0,9.666666666666666,9.666666666666666,0.0,7.756666666666668,7.756666666666668,0.0,5.717884760741903,5.717884760741903,0.0
medium,rot_bonds,smiles_ga,3,8.333333333333334,8.333333333333334,0.0,8.333333333333334,8.333333333333334,0.0,8.333333333333334,8.333333333333334,0.0,7.853620866338667,7.853620866338667,0.0
medium,rot_bonds,stoned,3,15.666666666666666,15.666666666666666,0.0,14.799999999999999,14.799999999999999,0.0,13.29,13.29,0.0,9.947966319394888,9.947966319394888,0.0
medium,sascore,gpbo,3,8.942550447629651,8.942550447629651,0.0,8.829342656736188,8.829342656736188,0.0,8.642400973838765,8.642400973838765,0.0,8.556262359391658,8.556262359391658,0.0
medium,sascore,graph_ga,3,9.0,9.0,0.0,8.997405199150812,8.997405199150812,0.0,8.74641999602141,8.74641999602141,0.0,8.70838484011294,8.70838484011294,0.0
medium,sascore,graph_mcts,3,9.0,9.0,0.0,8.869984243444845,8.869984243444845,0.0,8.019885692630146,8.019885692630146,0.0,8.715726159992373,8.715726159992373,0.0
medium,sascore,mimosa,3,8.66793054365497,8.66793054365497,0.0,8.352685526716238,8.352685526716238,0.0,8.043874207709182,8.043874207709182,0.0,8.19904556073456,8.19904556073456,0.0
medium,sascore,moldqn,3,8.396400554958543,8.396400554958543,0.0,7.91729465634963,7.91729465634963,0.0,6.844570121103452,6.844570121103452,0.0,7.548209195190957,7.548209195190957,0.0
medium,sascore,reinvent,3,8.805231355264175,8.805231355264175,0.0,8.61996371934078,8.61996371934078,0.0,8.396706639103341,8.396706639103341,0.0,8.332366898592733,8.332366898592733,0.0
medium,sascore,reinvent_selfies,3,8.61706292640526,8.61706292640526,0.0,8.41636662251029,8.41636662251029,0.0,8.148048957864557,8.148048957864557,0.0,8.178080605563546,8.178080605563546,0.0
medium,sascore,screening,3,8.66793054365497,8.66793054365497,0.0,8.352685526716238,8.352685526716238,0.0,8.042297635281923,8.042297635281923,0.0,8.211620585702361,8.211620585702361,0.0
medium,sascore,selfies_ga,3,9.0,9.0,0.0,8.703901356271393,8.703901356271393,0.0,8.002773324718374,8.002773324718374,0.0,8.306215555770242,8.306215555770242,0.0
medium,sascore,smiles_ga,3,8.66793054365497,8.66793054365497,0.0,8.362952597856475,8.362952597856475,0.0,7.997025081046945,7.997025081046945,0.0,8.18072977649365,8.18072977649365,0.0
medium,sascore,stoned,3,8.785194312057795,8.785194312057795,0.0,8.588257139616077,8.588257139616077,0.0,8.099293945405089,8.099293945405089,0.0,8.257537724859,8.257537724859,0.0
medium,tpsa,gpbo,3,446.2233333333332,446.2233333333332,0.0,415.63599999999997,415.63599999999997,0.0,338.81719999999996,338.81719999999996,0.0,245.4498104673104,245.4498104673104,0.0
medium,tpsa,graph_ga,3,296.83,296.83,0.0,275.003,275.003,0.0,222.25906666666663,222.25906666666663,0.0,189.93406105006105,189.93406105006105,0.0
medium,tpsa,graph_mcts,3,189.53666666666666,189.53666666666666,0.0,175.7173333333333,175.7173333333333,0.0,123.5234,123.5234,0.0,143.44543861111111,143.44543861111111,0.0
medium,tpsa,mimosa,3,185.97000000000003,185.97000000000003,0.0,164.72599999999997,164.72599999999997,0.0,116.2256333333333,116.2256333333333,0.0,149.00198995448994,149.00198995448994,0.0
medium,tpsa,moldqn,3,305.34,305.34,0.0,285.4506666666667,285.4506666666667,0.0,212.06483333333335,212.06483333333335,0.0,180.26308785658784,180.26308785658784,0.0
medium,tpsa,reinvent,3,195.58666666666667,195.58666666666667,0.0,175.8713333333333,175.8713333333333,0.0,135.4997,135.4997,0.0,150.95302525252524,150.95302525252524,0.0
medium,tpsa,reinvent_selfies,3,188.49333333333334,188.49333333333334,0.0,176.20766666666665,176.20766666666665,0.0,135.2963,135.2963,0.0,151.84485059385057,151.84485059385057,0.0
medium,tpsa,screening,3,136.76,136.76,0.0,131.423,131.423,0.0,108.55180000000001,108.55180000000001,0.0,122.24467211111111,122.24467211111111,0.0
medium,tpsa,selfies_ga,3,132.55666666666664,132.55666666666664,0.0,124.62266666666666,124.62266666666666,0.0,109.77356666666667,109.77356666666667,0.0,91.75276870748303,91.75276870748303,0.0
medium,tpsa,smiles_ga,3,218.17,218.17,0.0,205.9823333333333,205.9823333333333,0.0,190.86599999999996,190.86599999999996,0.0,153.29839704739703,153.29839704739703,0.0
medium,tpsa,stoned,3,188.21,188.21,0.0,180.22866666666664,180.22866666666664,0.0,163.59256666666667,163.59256666666667,0.0,135.32656904206905,135.32656904206905,0.0
