tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
medium,rot_bonds,graph_mcts,1,1000,1000,9.0,9.0,8.0,5.38,5.5047999999999995,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/graph_mcts/seed_1/results_graph_mcts_rot_bonds_1.yaml
medium,rot_bonds,graph_mcts,2,1000,1000,10.0,10.0,7.9,5.72,5.834849999999999,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/graph_mcts/seed_2/results_graph_mcts_rot_bonds_2.yaml
medium,rot_bonds,mimosa,0,1001,1001,7.0,7.0,7.0,7.0,6.951684426684427,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/mimosa/seed_0/results_mimosa_rot_bonds_0.yaml
medium,rot_bonds,mimosa,1,1001,1001,7.0,7.0,7.0,7.0,6.87148446791304,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/mimosa/seed_1/results_mimosa_rot_bonds_1.yaml
medium,rot_bonds,mimosa,2,1001,1001,7.0,7.0,7.0,7.0,6.912454608883181,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/mimosa/seed_2/results_mimosa_rot_bonds_2.yaml
medium,rot_bonds,moldqn,0,1001,1001,17.0,17.0,15.7,12.09,10.92463330320473,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/moldqn/seed_0/results_moldqn_rot_bonds_0.yaml
medium,rot_bonds,moldqn,1,1001,1001,15.0,15.0,13.8,10.23,8.965658944230373,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/moldqn/seed_1/results_moldqn_rot_bonds_1.yaml
medium,rot_bonds,moldqn,2,1001,1001,16.0,16.0,15.1,12.02,11.127722277722278,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/moldqn/seed_2/results_moldqn_rot_bonds_2.yaml
medium,rot_bonds,reinvent,0,1001,1001,20.0,20.0,16.4,12.67,10.559351759351761,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/reinvent/seed_0/results_reinvent_rot_bonds_0.yaml
medium,rot_bonds,reinvent,1,1001,1001,15.0,15.0,12.9,10.34,9.725070960785246,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/reinvent/seed_1/results_reinvent_rot_bonds_1.yaml
medium,rot_bonds,reinvent,2,1001,1001,16.0,16.0,13.1,10.14,9.380333555333554,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/reinvent/seed_2/results_reinvent_rot_bonds_2.yaml
medium,rot_bonds,reinvent_selfies,0,1001,1001,16.0,16.0,13.4,10.33,11.07691514834372,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/reinvent_selfies/seed_0/results_reinvent_selfies_rot_bonds_0.yaml
medium,rot_bonds,reinvent_selfies,1,1001,1001,16.0,16.0,13.5,10.25,11.206020170305885,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/reinvent_selfies/seed_1/results_reinvent_selfies_rot_bonds_1.yaml
medium,rot_bonds,reinvent_selfies,2,1001,1001,20.0,20.0,16.0,11.47,11.436251446965734,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/reinvent_selfies/seed_2/results_reinvent_selfies_rot_bonds_2.yaml
medium,rot_bonds,screening,0,1000,1000,7.0,7.0,7.0,7.0,6.951075396825397,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/screening/seed_0/results_screening_rot_bonds_0.yaml
medium,rot_bonds,screening,1,1000,1000,7.0,7.0,7.0,7.0,6.930722222222222,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/screening/seed_1/results_screening_rot_bonds_1.yaml
medium,rot_bonds,screening,2,1000,1000,7.0,7.0,7.0,7.0,6.898266666666666,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/screening/seed_2/results_screening_rot_bonds_2.yaml
